Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDL48,OUT018,711.0628208695656
FDC48,OUT027,2517.8820884848487
FDA36,OUT017,2778.9892779999996
FDM24,OUT049,2490.5268867052023
FDD48,OUT010,281.4820818181817
FDW12,OUT035,2490.5268867052023
FDC37,OUT027,2517.8820884848487
FDZ36,OUT045,3387.2047231707293
FDK60,OUT017,1559.3429752688176
FDG12,OUT046,2282.9788814814824
FDX24,OUT013,1498.2394086206898
FDS60,OUT027,5329.314724444444
FDC60,OUT049,1335.1786749999994
FDA48,OUT018,3327.9525829268296
FDZ36,OUT027,5329.314724444444
FDW23,OUT018,507.046403669725
FDW60,OUT018,2888.49101011236
FDY59,OUT010,219.2185209302326
FDR60,OUT049,1335.1786749999994
FDV24,OUT013,2490.5268867052023
FDZ48,OUT010,281.4820818181817
FDS24,OUT027,2517.8820884848487
FDS48,OUT045,2660.950403030303
FDM60,OUT010,92.67548155339806
FDV24,OUT017,2490.5268867052023
FDS12,OUT027,3242.0620715328487
FDP12,OUT027,1378.2631852760742
FDV24,OUT046,2490.5268867052023
FDW36,OUT017,1548.68615221239
FDA36,OUT018,2778.9892779999996
FDU48,OUT045,1864.5118683333321
FDH12,OUT035,1548.68615221239
FDI12,OUT013,1441.411082758621
FDY24,OUT019,165.91858165137612
FDY24,OUT017,795.246676422764
FDQ12,OUT010,584.7577647727275
FDS48,OUT017,2660.950403030303
FDU24,OUT045,1335.1786749999994
FDG12,OUT035,1800.1922229508198
FDZ59,OUT046,2611.459542342343
FDQ60,OUT045,1800.1922229508198
FDV12,OUT049,1559.3429752688176
FDM24,OUT018,2232.8470218487387
FDQ24,OUT049,4027.3409749999983
FDA48,OUT049,3731.420335025383
FDN60,OUT049,2894.2207107142863
FDP60,OUT018,1372.6884907407414
FDY24,OUT045,933.6314425287359
FDW12,OUT019,346.89728372093026
FDX48,OUT027,4117.317712631578
FDR36,OUT046,677.1027476190478
FDX12,OUT018,3327.9525829268296
FDN24,OUT049,933.6314425287359
FDB60,OUT045,2793.821916778524
FDR12,OUT049,3104.189829906543
FDW60,OUT049,2551.843596747969
FDJ36,OUT017,1784.4287381818172
FDW36,OUT046,1548.68615221239
FDP12,OUT018,507.046403669725
FDU60,OUT018,2232.8470218487387
FDT36,OUT035,583.8145788617884
FDD36,OUT035,1800.1922229508198
FDR24,OUT049,1335.1786749999994
FDE36,OUT019,425.93559145299145
FDI24,OUT017,2888.49101011236
FDA11,OUT019,219.2185209302326
FDU48,OUT018,1752.2524400000004
FDY12,OUT045,796.6660672268906
FDU60,OUT017,2453.7477006993004
FDH12,OUT013,1548.68615221239
FDR24,OUT018,1335.1786749999994
FDW24,OUT017,711.0628208695656
FDU24,OUT035,1559.3429752688176
FDW36,OUT018,1372.6884907407414
FDE24,OUT019,346.89728372093026
FDC60,OUT045,1335.1786749999994
FDL36,OUT013,1441.411082758621
FDZ48,OUT035,1548.68615221239
FDR12,OUT035,2894.2207107142863
FDX23,OUT049,1559.3429752688176
FDT60,OUT027,3242.0620715328487
FDS12,OUT046,2065.183112280702
FDP12,OUT013,507.046403669725
FDU48,OUT027,3242.0620715328487
FDB12,OUT045,1784.4287381818172
FDQ60,OUT046,2140.5192583333323
FDR60,OUT045,1226.186061386138
FDI36,OUT017,3105.0415249999987
FDJ36,OUT013,1784.4287381818172
FDZ60,OUT046,1548.68615221239
FDX48,OUT013,2660.950403030303
FDZ12,OUT027,3242.0620715328487
FDU36,OUT017,1559.3429752688176
FDX60,OUT049,1335.1786749999994
FDJ12,OUT027,5329.314724444444
FDD48,OUT027,3242.0620715328487
FDO48,OUT010,584.7577647727275
FDL24,OUT046,3104.189829906543
FDD36,OUT013,1800.1922229508198
FDP48,OUT010,482.69954262295084
FDX12,OUT049,3731.420335025383
FDE36,OUT046,2611.459542342343
FDZ36,OUT049,3387.2047231707293
FDA11,OUT049,1559.3429752688176
FDN48,OUT010,219.2185209302326
FDQ12,OUT013,4161.868242857145
FDO36,OUT018,3387.2047231707293
FDA35,OUT018,1752.2524400000004
FDZ59,OUT035,2611.459542342343
FDQ36,OUT013,507.046403669725
FDF24,OUT046,1226.186061386138
FDA11,OUT013,1559.3429752688176
FDQ12,OUT017,4161.868242857145
FDP36,OUT046,796.6660672268906
FDA48,OUT027,5329.314724444444
FDJ12,OUT018,3327.9525829268296
FDY12,OUT035,933.6314425287359
FDH12,OUT027,2517.8820884848487
FDA47,OUT035,2611.459542342343
FDT36,OUT049,583.8145788617884
FDQ48,OUT049,1559.3429752688176
FDC60,OUT027,2517.8820884848487
FDZ47,OUT018,1372.6884907407414
FDY36,OUT035,1103.1862133333327
FDG60,OUT045,4161.868242857145
FDM60,OUT019,92.67548155339806
FDT12,OUT035,3717.6324421768686
FDL12,OUT045,933.6314425287359
FDY59,OUT017,1498.2394086206898
FDW23,OUT027,1378.2631852760742
FDX12,OUT017,4161.868242857145
FDQ60,OUT035,2140.5192583333323
FDQ60,OUT027,3242.0620715328487
FDW24,OUT018,711.0628208695656
FDF12,OUT035,2490.5268867052023
FDM12,OUT045,3187.0617825242707
FDK48,OUT013,1498.2394086206898
FDV12,OUT010,219.2185209302326
FDH24,OUT013,2453.7477006993004
FDX24,OUT049,1335.1786749999994
FDT48,OUT045,3187.0617825242707
FDR24,OUT046,1441.411082758621
FDW60,OUT035,2888.49101011236
FDG60,OUT010,584.7577647727275
FDJ12,OUT035,3717.6324421768686
FDX12,OUT013,3358.023708737865
FDV48,OUT035,1498.2394086206898
FDI36,OUT049,2793.821916778524
FDD36,OUT045,1800.1922229508198
FDR12,OUT010,425.93559145299145
FDY60,OUT018,1752.2524400000004
FDT60,OUT013,2065.183112280702
FDV36,OUT019,281.4820818181817
FDC37,OUT010,281.4820818181817
FDJ60,OUT027,4117.317712631578
FDE36,OUT010,425.93559145299145
FDV12,OUT027,2517.8820884848487
FDW12,OUT018,2232.8470218487387
FDK36,OUT045,796.6660672268906
FDW60,OUT046,2551.843596747969
FDN24,OUT035,933.6314425287359
FDQ60,OUT017,2140.5192583333323
FDT36,OUT017,583.8145788617884
FDZ36,OUT019,482.69954262295084
FDM24,OUT010,346.89728372093026
FDI48,OUT045,796.6660672268906
FDS24,OUT017,1441.411082758621
FDQ48,OUT045,1559.3429752688176
FDV36,OUT013,2065.183112280702
FDK48,OUT010,165.91858165137612
FDR48,OUT046,2490.5268867052023
FDX11,OUT027,5329.314724444444
FDK48,OUT018,1103.1862133333327
FDY11,OUT045,1103.1862133333327
FDR12,OUT046,3104.189829906543
FDG60,OUT018,3327.9525829268296
FDO12,OUT027,5329.314724444444
FDC37,OUT046,1661.6931960784311
FDU60,OUT027,4117.317712631578
FDX36,OUT027,5329.314724444444
FDJ36,OUT018,1372.6884907407414
FDA23,OUT018,1372.6884907407414
FDS60,OUT017,2888.49101011236
FDE24,OUT013,2227.6349584158415
FDR36,OUT027,1378.2631852760742
FDV60,OUT046,3105.0415249999987
FDH60,OUT018,3105.0415249999987
FDH24,OUT027,4117.317712631578
FDY11,OUT035,1103.1862133333327
FDO60,OUT049,677.1027476190478
FDL36,OUT046,1441.411082758621
FDB37,OUT018,3327.9525829268296
FDQ24,OUT046,4027.3409749999983
FDI12,OUT035,1441.411082758621
FDI12,OUT018,1335.1786749999994
FDC37,OUT018,1372.6884907407414
FDQ12,OUT018,3327.9525829268296
FDB36,OUT049,2140.5192583333323
FDC48,OUT013,1498.2394086206898
FDX48,OUT046,2660.950403030303
FDU48,OUT046,1864.5118683333321
FDR48,OUT019,346.89728372093026
FDN12,OUT049,1548.68615221239
FDD36,OUT046,1800.1922229508198
FDB12,OUT027,2517.8820884848487
FDM36,OUT018,3104.189829906543
FDP36,OUT049,796.6660672268906
FDO24,OUT017,2222.6712822580653
FDC37,OUT035,1661.6931960784311
FDA36,OUT046,2778.9892779999996
FDD48,OUT013,2017.4411908256884
FDL24,OUT017,2888.49101011236
FDA48,OUT035,3731.420335025383
FDU60,OUT049,2453.7477006993004
FDX36,OUT035,3731.420335025383
FDF24,OUT045,1226.186061386138
FDO48,OUT027,5329.314724444444
FDI24,OUT049,2551.843596747969
FDI48,OUT018,795.246676422764
FDU48,OUT013,1864.5118683333321
FDV12,OUT045,1559.3429752688176
FDZ23,OUT019,482.69954262295084
FDZ47,OUT019,219.2185209302326
FDD48,OUT035,2017.4411908256884
FDT48,OUT035,3105.0415249999987
FDL12,OUT010,165.91858165137612
FDI12,OUT027,2517.8820884848487
FDL12,OUT017,795.246676422764
FDI36,OUT013,2793.821916778524
FDJ48,OUT018,3327.9525829268296
FDC48,OUT049,1213.509493069307
FDD36,OUT017,2282.9788814814824
FDC37,OUT017,1661.6931960784311
FDB60,OUT019,482.69954262295084
FDZ47,OUT013,1559.3429752688176
FDY48,OUT017,1661.6931960784311
FDX36,OUT010,584.7577647727275
FDJ60,OUT010,425.93559145299145
FDO36,OUT046,2551.843596747969
FDP24,OUT018,1752.2524400000004
FDY36,OUT010,165.91858165137612
FDS60,OUT049,3387.2047231707293
FDM60,OUT035,677.1027476190478
FDZ23,OUT017,3187.0617825242707
FDN48,OUT046,1441.411082758621
FDK60,OUT013,1559.3429752688176
FDS24,OUT019,219.2185209302326
FDO48,OUT049,3717.6324421768686
FDA36,OUT049,2778.9892779999996
FDH48,OUT027,2517.8820884848487
FDU36,OUT045,1559.3429752688176
FDS48,OUT018,2232.8470218487387
FDB37,OUT045,4161.868242857145
FDM12,OUT018,2793.821916778524
FDE24,OUT049,2227.6349584158415
FDV36,OUT049,2282.9788814814824
FDO60,OUT045,796.6660672268906
FDI48,OUT019,165.91858165137612
FDB49,OUT035,1879.0540499999997
FDX48,OUT049,2660.950403030303
FDY12,OUT049,933.6314425287359
FDS12,OUT049,2065.183112280702
FDB60,OUT046,3187.0617825242707
FDY60,OUT049,2227.6349584158415
FDP48,OUT013,3387.2047231707293
FDK24,OUT013,507.046403669725
FDO36,OUT017,3387.2047231707293
FDY36,OUT018,1103.1862133333327
FDZ48,OUT013,2017.4411908256884
FDJ48,OUT049,4027.3409749999983
FDZ12,OUT035,2227.6349584158415
FDY24,OUT027,1378.2631852760742
FDA23,OUT045,1661.6931960784311
FDZ12,OUT017,2490.5268867052023
FDO24,OUT019,346.89728372093026
FDF12,OUT049,2490.5268867052023
FDM12,OUT019,482.69954262295084
FDX23,OUT027,2517.8820884848487
FDR24,OUT019,219.2185209302326
FDZ23,OUT046,3187.0617825242707
FDZ60,OUT013,1548.68615221239
FDS36,OUT027,2517.8820884848487
FDZ47,OUT045,1559.3429752688176
FDN12,OUT035,1548.68615221239
FDU60,OUT046,2453.7477006993004
FDV36,OUT035,2282.9788814814824
FDX48,OUT045,2660.950403030303
FDT24,OUT017,1103.1862133333327
FDT12,OUT019,584.7577647727275
FDO48,OUT035,3717.6324421768686
FDU60,OUT013,2453.7477006993004
FDP36,OUT035,796.6660672268906
FDF24,OUT013,1226.186061386138
FDW23,OUT017,677.1027476190478
FDQ24,OUT027,6280.890879999999
FDI36,OUT045,2793.821916778524
FDZ12,OUT045,2227.6349584158415
FDM12,OUT049,2793.821916778524
FDK60,OUT027,2517.8820884848487
FDP36,OUT045,796.6660672268906
FDN48,OUT017,1335.1786749999994
FDA47,OUT049,2611.459542342343
FDZ47,OUT010,219.2185209302326
FDP48,OUT019,482.69954262295084
FDK24,OUT049,796.6660672268906
FDX24,OUT017,1335.1786749999994
FDJ60,OUT018,2232.8470218487387
FDL12,OUT018,795.246676422764
FDW36,OUT013,1548.68615221239
FDC48,OUT018,1213.509493069307
FDM12,OUT046,3187.0617825242707
FDV36,OUT046,2282.9788814814824
FDJ12,OUT010,584.7577647727275
FDV24,OUT027,4117.317712631578
FDV48,OUT045,1335.1786749999994
FDB12,OUT017,1784.4287381818172
FDZ59,OUT045,2611.459542342343
FDY24,OUT046,933.6314425287359
FDA48,OUT013,3358.023708737865
FDP36,OUT027,1378.2631852760742
FDS60,OUT010,425.93559145299145
FDZ60,OUT045,1548.68615221239
FDZ48,OUT027,3242.0620715328487
FDQ60,OUT013,2140.5192583333323
FDA35,OUT045,2140.5192583333323
FDP24,OUT035,2065.183112280702
FDG12,OUT013,1800.1922229508198
FDT60,OUT049,2065.183112280702
FDW48,OUT046,1226.186061386138
FDB49,OUT013,1559.3429752688176
FDS12,OUT045,2065.183112280702
FDC60,OUT013,1498.2394086206898
FDD48,OUT049,2017.4411908256884
FDD48,OUT017,2017.4411908256884
FDX60,OUT035,1226.186061386138
FDW36,OUT045,1548.68615221239
FDV24,OUT035,2490.5268867052023
FDL36,OUT035,1441.411082758621
FDB37,OUT017,4161.868242857145
FDI36,OUT027,5329.314724444444
FDB60,OUT027,5329.314724444444
FDI48,OUT027,1378.2631852760742
FDU48,OUT019,281.4820818181817
FDH48,OUT035,1226.186061386138
FDM12,OUT027,5329.314724444444
FDE36,OUT013,2611.459542342343
FDN48,OUT049,1335.1786749999994
FDA48,OUT017,3731.420335025383
FDQ60,OUT049,2140.5192583333323
FDK48,OUT035,1103.1862133333327
FDH24,OUT045,2453.7477006993004
FDG60,OUT017,4161.868242857145
FDM36,OUT045,3104.189829906543
FDO12,OUT045,3105.0415249999987
FDK36,OUT018,711.0628208695656
FDB49,OUT027,2517.8820884848487
FDQ12,OUT049,4161.868242857145
FDI24,OUT018,2888.49101011236
FDK60,OUT045,1559.3429752688176
FDY36,OUT013,1103.1862133333327
FDM24,OUT013,2490.5268867052023
FDK36,OUT010,92.67548155339806
FDR36,OUT018,507.046403669725
FDV36,OUT018,1752.2524400000004
FDJ12,OUT046,3717.6324421768686
FDO36,OUT010,425.93559145299145
FDS48,OUT049,2660.950403030303
FDV12,OUT019,219.2185209302326
FDH60,OUT035,3105.0415249999987
FDN24,OUT018,795.246676422764
FDV48,OUT046,1498.2394086206898
FDN60,OUT013,2894.2207107142863
FDA35,OUT013,2140.5192583333323
FDH12,OUT046,1548.68615221239
FDY11,OUT027,1378.2631852760742
FDY12,OUT027,1378.2631852760742
FDS36,OUT018,1372.6884907407414
FDX48,OUT035,2660.950403030303
FDH12,OUT010,219.2185209302326
FDL12,OUT049,933.6314425287359
FDC60,OUT035,1498.2394086206898
FDN24,OUT013,795.246676422764
FDW60,OUT017,2888.49101011236
FDX24,OUT010,219.2185209302326
FDM60,OUT027,1378.2631852760742
FDT12,OUT049,3717.6324421768686
FDI60,OUT017,1103.1862133333327
FDJ36,OUT046,1784.4287381818172
FDP48,OUT035,3387.2047231707293
FDY48,OUT027,2517.8820884848487
FDO24,OUT018,2232.8470218487387
FDN48,OUT013,1441.411082758621
FDE24,OUT046,2227.6349584158415
FDQ24,OUT035,4425.298447058823
FDC48,OUT045,1213.509493069307
FDA47,OUT019,346.89728372093026
FDM60,OUT045,677.1027476190478
FDQ36,OUT027,1378.2631852760742
FDL48,OUT045,796.6660672268906
FDI36,OUT035,3187.0617825242707
FDZ36,OUT010,482.69954262295084
FDH60,OUT013,3105.0415249999987
FDI60,OUT035,1103.1862133333327
FDK36,OUT049,796.6660672268906
FDU12,OUT017,4425.298447058823
FDK24,OUT017,711.0628208695656
FDI24,OUT046,2551.843596747969
FDY48,OUT049,1661.6931960784311
FDX12,OUT027,6280.890879999999
FDI48,OUT046,796.6660672268906
FDX11,OUT017,3387.2047231707293
FDA36,OUT035,2778.9892779999996
FDI36,OUT010,482.69954262295084
FDH48,OUT046,1441.411082758621
FDV12,OUT046,1559.3429752688176
FDO36,OUT045,2551.843596747969
FDC37,OUT045,1661.6931960784311
FDH24,OUT019,346.89728372093026
FDX23,OUT045,1498.2394086206898
FDD48,OUT046,2017.4411908256884
FDU48,OUT049,1864.5118683333321
FDC60,OUT018,1335.1786749999994
FDX24,OUT018,1213.509493069307
FDT36,OUT019,92.67548155339806
FDZ59,OUT017,2611.459542342343
FDO48,OUT017,3717.6324421768686
FDA35,OUT035,2140.5192583333323
FDT60,OUT035,2065.183112280702
FDH12,OUT018,1372.6884907407414
FDY60,OUT035,2282.9788814814824
FDQ60,OUT018,1752.2524400000004
FDT60,OUT010,281.4820818181817
FDY60,OUT013,2490.5268867052023
FDA23,OUT010,219.2185209302326
FDU24,OUT018,1372.6884907407414
FDM12,OUT013,2793.821916778524
FDI60,OUT027,1378.2631852760742
FDR36,OUT049,677.1027476190478
FDU11,OUT049,2065.183112280702
FDU59,OUT017,2611.459542342343
FDP23,OUT010,584.7577647727275
FDT59,OUT046,4161.868242857145
FDU35,OUT018,1372.6884907407414
FDQ47,OUT046,583.8145788617884
FDS23,OUT013,2065.183112280702
FDS35,OUT049,1103.1862133333327
FDX35,OUT018,3327.9525829268296
FDS59,OUT049,1784.4287381818172
FDY35,OUT013,507.046403669725
FDY47,OUT019,281.4820818181817
FDN23,OUT018,2232.8470218487387
FDV23,OUT017,2065.183112280702
FDP59,OUT017,1784.4287381818172
FDQ11,OUT010,584.7577647727275
FDX47,OUT045,2222.6712822580653
FDT11,OUT019,482.69954262295084
FDT59,OUT019,584.7577647727275
FDV47,OUT045,1441.411082758621
FDW35,OUT013,507.046403669725
FDQ23,OUT046,1879.0540499999997
FDU23,OUT017,2894.2207107142863
FDV11,OUT017,2888.49101011236
FDO23,OUT046,1441.411082758621
FDU59,OUT035,2222.6712822580653
FDP59,OUT035,1784.4287381818172
FDO11,OUT013,4425.298447058823
FDV35,OUT019,346.89728372093026
FDW59,OUT049,1213.509493069307
