Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDL48,OUT018,754.5960957264956
FDC48,OUT027,2513.079854666666
FDA36,OUT017,3087.50751128205
FDM24,OUT049,2384.0151261682236
FDD48,OUT010,286.41777051282054
FDW12,OUT035,2384.0151261682236
FDC37,OUT027,3175.335988157896
FDZ36,OUT045,3389.2269793548367
FDK60,OUT017,1517.6348566210052
FDG12,OUT046,2055.9669563380266
FDX24,OUT013,1449.3843029239767
FDS60,OUT027,5669.1633514285695
FDC60,OUT049,1279.5742072398198
FDA48,OUT018,3327.9525829268296
FDZ36,OUT027,5669.1633514285695
FDW23,OUT018,544.7908499999998
FDW60,OUT018,2736.9684298755183
FDY59,OUT010,230.0085918128654
FDR60,OUT049,1279.5742072398198
FDV24,OUT013,2346.6487869387765
FDZ48,OUT010,230.0085918128654
FDS24,OUT027,2513.079854666666
FDS48,OUT045,2539.3942358778622
FDM60,OUT010,130.3334905660377
FDV24,OUT017,2384.0151261682236
FDS12,OUT027,3175.335988157896
FDP12,OUT027,1378.263185276074
FDV24,OUT046,2384.0151261682236
FDW36,OUT017,1612.4136337499997
FDA36,OUT018,3087.50751128205
FDU48,OUT045,2197.1253670329656
FDH12,OUT035,1612.4136337499997
FDI12,OUT013,1449.3843029239767
FDY24,OUT019,130.3334905660377
FDY24,OUT017,876.3205797979799
FDQ12,OUT010,542.9755395973151
FDS48,OUT017,2539.3942358778622
FDU24,OUT045,1279.5742072398198
FDG12,OUT035,1874.430959859155
FDZ59,OUT046,2384.0151261682236
FDQ60,OUT045,1874.430959859155
FDV12,OUT049,1517.6348566210052
FDM24,OUT018,2346.6487869387765
FDQ24,OUT049,4027.340974999999
FDA48,OUT049,3503.0489973333347
FDN60,OUT049,2811.1814032128514
FDP60,OUT018,1517.6348566210052
FDY24,OUT045,876.3205797979799
FDW12,OUT019,384.48867398374006
FDX48,OUT027,4117.317712631579
FDR36,OUT046,643.5588362068967
FDX12,OUT018,3327.9525829268296
FDN24,OUT049,876.3205797979799
FDB60,OUT045,3087.50751128205
FDR12,OUT049,2997.407679041916
FDW60,OUT049,2736.9684298755183
FDJ36,OUT017,1772.5911826086956
FDW36,OUT046,1612.4136337499997
FDP12,OUT018,544.7908499999998
FDU60,OUT018,2346.6487869387765
FDT36,OUT035,643.5588362068967
FDD36,OUT035,1874.430959859155
FDR24,OUT049,1279.5742072398198
FDE36,OUT019,384.48867398374006
FDI24,OUT017,2997.407679041916
FDA11,OUT019,230.0085918128654
FDU48,OUT018,1936.508247826086
FDY12,OUT045,754.5960957264956
FDU60,OUT017,2811.1814032128514
FDH12,OUT013,1612.4136337499997
FDR24,OUT018,1279.5742072398198
FDW24,OUT017,754.5960957264956
FDU24,OUT035,1517.6348566210052
FDW36,OUT018,1612.4136337499997
FDE24,OUT019,384.48867398374006
FDC60,OUT045,1279.5742072398198
FDL36,OUT013,1339.5032925925927
FDZ48,OUT035,1612.4136337499997
FDR12,OUT035,2811.1814032128514
FDX23,OUT049,1517.6348566210052
FDT60,OUT027,3175.335988157896
FDS12,OUT046,2055.9669563380266
FDP12,OUT013,544.7908499999998
FDU48,OUT027,3175.335988157896
FDB12,OUT045,1772.5911826086956
FDQ60,OUT046,2055.9669563380266
FDR60,OUT045,1339.5032925925927
FDI36,OUT017,3087.50751128205
FDJ36,OUT013,1772.5911826086956
FDZ60,OUT046,1612.4136337499997
FDX48,OUT013,2346.6487869387765
FDZ12,OUT027,3175.335988157896
FDU36,OUT017,1517.6348566210052
FDX60,OUT049,1279.5742072398198
FDJ12,OUT027,5669.1633514285695
FDD48,OUT027,3175.335988157896
FDO48,OUT010,542.9755395973151
FDL24,OUT046,2997.407679041916
FDD36,OUT013,1874.430959859155
FDP48,OUT010,542.9755395973151
FDX12,OUT049,3503.0489973333347
FDE36,OUT046,2384.0151261682236
FDZ36,OUT049,3389.2269793548367
FDA11,OUT049,1517.6348566210052
FDN48,OUT010,230.0085918128654
FDQ12,OUT013,4145.374947486031
FDO36,OUT018,2880.9695613636372
FDA35,OUT018,1936.508247826086
FDZ59,OUT035,2384.0151261682236
FDQ36,OUT013,544.7908499999998
FDF24,OUT046,1339.5032925925927
FDA11,OUT013,1517.6348566210052
FDQ12,OUT017,4145.374947486031
FDP36,OUT046,754.5960957264956
FDA48,OUT027,5669.1633514285695
FDJ12,OUT018,3327.9525829268296
FDY12,OUT035,876.3205797979799
FDH12,OUT027,3175.335988157896
FDA47,OUT035,2811.1814032128514
FDT36,OUT049,643.5588362068967
FDQ48,OUT049,1517.6348566210052
FDC60,OUT027,2513.079854666666
FDZ47,OUT018,1517.6348566210052
FDY36,OUT035,1103.1862133333336
FDG60,OUT045,4145.374947486031
FDM60,OUT019,130.3334905660377
FDT12,OUT035,3746.199157333333
FDL12,OUT045,876.3205797979799
FDY59,OUT017,1449.3843029239767
FDW23,OUT027,1378.263185276074
FDX12,OUT017,4145.374947486031
FDQ60,OUT035,2055.9669563380266
FDQ60,OUT027,3175.335988157896
FDW24,OUT018,754.5960957264956
FDF12,OUT035,2384.0151261682236
FDM12,OUT045,3087.50751128205
FDK48,OUT013,1449.3843029239767
FDV12,OUT010,230.0085918128654
FDH24,OUT013,2346.6487869387765
FDX24,OUT049,1279.5742072398198
FDT48,OUT045,3087.50751128205
FDR24,OUT046,1339.5032925925927
FDW60,OUT035,2736.9684298755183
FDG60,OUT010,542.9755395973151
FDJ12,OUT035,3746.199157333333
FDX12,OUT013,3703.392655999999
FDV48,OUT035,1449.3843029239767
FDI36,OUT049,3087.50751128205
FDD36,OUT045,1874.430959859155
FDR12,OUT010,384.48867398374006
FDY60,OUT018,1936.508247826086
FDT60,OUT013,1936.508247826086
FDV36,OUT019,286.41777051282054
FDC37,OUT010,230.0085918128654
FDJ60,OUT027,4117.317712631579
FDE36,OUT010,384.48867398374006
FDV12,OUT027,2513.079854666666
FDW12,OUT018,2346.6487869387765
FDK36,OUT045,754.5960957264956
FDW60,OUT046,2736.9684298755183
FDN24,OUT035,876.3205797979799
FDQ60,OUT017,2055.9669563380266
FDT36,OUT017,544.7908499999998
FDZ36,OUT019,542.9755395973151
FDM24,OUT010,384.48867398374006
FDI48,OUT045,754.5960957264956
FDS24,OUT017,1339.5032925925927
FDQ48,OUT045,1517.6348566210052
FDV36,OUT013,1936.508247826086
FDK48,OUT010,130.3334905660377
FDR48,OUT046,2539.3942358778622
FDX11,OUT027,5669.1633514285695
FDK48,OUT018,1103.1862133333336
FDY11,OUT045,1103.1862133333336
FDR12,OUT046,2997.407679041916
FDG60,OUT018,3327.9525829268296
FDO12,OUT027,5669.1633514285695
FDC37,OUT046,1612.4136337499997
FDU60,OUT027,4117.317712631579
FDX36,OUT027,5669.1633514285695
FDJ36,OUT018,1772.5911826086956
FDA23,OUT018,1612.4136337499997
FDS60,OUT017,2736.9684298755183
FDE24,OUT013,1936.508247826086
FDR36,OUT027,1378.263185276074
FDV60,OUT046,2880.9695613636372
FDH60,OUT018,2880.9695613636372
FDH24,OUT027,4117.317712631579
FDY11,OUT035,1103.1862133333336
FDO60,OUT049,643.5588362068967
FDL36,OUT046,1339.5032925925927
FDB37,OUT018,3327.9525829268296
FDQ24,OUT046,4027.340974999999
FDI12,OUT035,1449.3843029239767
FDI12,OUT018,1279.5742072398198
FDC37,OUT018,1612.4136337499997
FDQ12,OUT018,3327.9525829268296
FDB36,OUT049,2055.9669563380266
FDC48,OUT013,1449.3843029239767
FDX48,OUT046,2539.3942358778622
FDU48,OUT046,2197.1253670329656
FDR48,OUT019,384.48867398374006
FDN12,OUT049,1612.4136337499997
FDD36,OUT046,1874.430959859155
FDB12,OUT027,2513.079854666666
FDM36,OUT018,2997.407679041916
FDP36,OUT049,754.5960957264956
FDO24,OUT017,2811.1814032128514
FDC37,OUT035,1612.4136337499997
FDA36,OUT046,3389.2269793548367
FDD48,OUT013,1874.430959859155
FDL24,OUT017,2997.407679041916
FDA48,OUT035,3703.392655999999
FDU60,OUT049,2811.1814032128514
FDX36,OUT035,3703.392655999999
FDF24,OUT045,1339.5032925925927
FDO48,OUT027,5669.1633514285695
FDI24,OUT049,2736.9684298755183
FDI48,OUT018,876.3205797979799
FDU48,OUT013,1936.508247826086
FDV12,OUT045,1517.6348566210052
FDZ23,OUT019,542.9755395973151
FDZ47,OUT019,230.0085918128654
FDD48,OUT035,1874.430959859155
FDT48,OUT035,3087.50751128205
FDL12,OUT010,130.3334905660377
FDI12,OUT027,2513.079854666666
FDL12,OUT017,876.3205797979799
FDI36,OUT013,3087.50751128205
FDJ48,OUT018,3327.9525829268296
FDC48,OUT049,1279.5742072398198
FDD36,OUT017,2055.9669563380266
FDC37,OUT017,1612.4136337499997
FDB60,OUT019,542.9755395973151
FDZ47,OUT013,1517.6348566210052
FDY48,OUT017,1612.4136337499997
FDX36,OUT010,542.9755395973151
FDJ60,OUT010,384.48867398374006
FDO36,OUT046,2736.9684298755183
FDP24,OUT018,1936.508247826086
FDY36,OUT010,130.3334905660377
FDS60,OUT049,2880.9695613636372
FDM60,OUT035,643.5588362068967
FDZ23,OUT017,3087.50751128205
FDN48,OUT046,1339.5032925925927
FDK60,OUT013,1517.6348566210052
FDS24,OUT019,230.0085918128654
FDO48,OUT049,3746.199157333333
FDA36,OUT049,3389.2269793548367
FDH48,OUT027,2513.079854666666
FDU36,OUT045,1517.6348566210052
FDS48,OUT018,2346.6487869387765
FDB37,OUT045,4145.374947486031
FDM12,OUT018,3087.50751128205
FDE24,OUT049,2055.9669563380266
FDV36,OUT049,2197.1253670329656
FDO60,OUT045,754.5960957264956
FDI48,OUT019,130.3334905660377
FDB49,OUT035,1772.5911826086956
FDX48,OUT049,2539.3942358778622
FDY12,OUT049,876.3205797979799
FDS12,OUT049,2055.9669563380266
FDB60,OUT046,3087.50751128205
FDY60,OUT049,2055.9669563380266
FDP48,OUT013,3389.2269793548367
FDK24,OUT013,544.7908499999998
FDO36,OUT017,2880.9695613636372
FDY36,OUT018,1103.1862133333336
FDZ48,OUT013,1874.430959859155
FDJ48,OUT049,4027.340974999999
FDZ12,OUT035,2055.9669563380266
FDY24,OUT027,1378.263185276074
FDA23,OUT045,1612.4136337499997
FDZ12,OUT017,2539.3942358778622
FDO24,OUT019,384.48867398374006
FDF12,OUT049,2384.0151261682236
FDM12,OUT019,542.9755395973151
FDX23,OUT027,2513.079854666666
FDR24,OUT019,230.0085918128654
FDZ23,OUT046,3087.50751128205
