Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDL48,OUT018,657.8721747840423
FDC48,OUT027,2756.4118259428305
FDA36,OUT017,3012.743399109082
FDM24,OUT049,2496.6341573356267
FDD48,OUT010,68.73456656993585
FDW12,OUT035,2409.0490184433334
FDC37,OUT027,3151.715130697385
FDZ36,OUT045,3052.3382549078437
FDK60,OUT017,1688.67922054196
FDG12,OUT046,2045.118053593971
FDX24,OUT013,1576.155233913255
FDS60,OUT027,4197.250969254502
FDC60,OUT049,1530.7344233504018
FDA48,OUT018,3124.9943246586604
FDZ36,OUT027,4335.835669575032
FDW23,OUT018,452.18478470332593
FDW60,OUT018,2578.304214802684
FDY59,OUT010,-268.69003843557493
FDR60,OUT049,1321.2915606104916
FDV24,OUT013,2419.4836331983406
FDZ48,OUT010,-14.028215104624906
FDS24,OUT027,2875.7153921644585
FDS48,OUT045,2484.270287502362
FDM60,OUT010,-1007.0116435331015
FDV24,OUT017,2447.1951679422964
FDS12,OUT027,3384.625821645545
FDP12,OUT027,2125.9292662836597
FDV24,OUT046,2397.080701500665
FDW36,OUT017,1724.8767399832814
FDA36,OUT018,2672.637751416134
FDU48,OUT045,2152.526448453725
FDH12,OUT035,1758.4424969961103
FDI12,OUT013,1484.6519258726078
FDY24,OUT019,-935.7284232287079
FDY24,OUT017,1049.0646861065425
FDQ12,OUT010,1729.8389778747874
FDS48,OUT017,2433.4032909940825
FDU24,OUT045,1654.108249940827
FDG12,OUT035,2039.6317319149894
FDZ59,OUT046,2639.9336519929698
FDQ60,OUT045,2044.0047417616527
FDV12,OUT049,1726.76838596619
FDM24,OUT018,2143.349330870562
FDQ24,OUT049,3922.9758336827913
FDA48,OUT049,3491.6457381746213
FDN60,OUT049,2529.2941822457706
FDP60,OUT018,1359.1319375506555
FDY24,OUT045,1100.3937926272433
FDW12,OUT019,481.1209174874775
FDX48,OUT027,3882.31672290001
FDR36,OUT046,784.3311664736816
FDX12,OUT018,3509.6892574086773
FDN24,OUT049,980.8907297098108
FDB60,OUT045,3176.058089597139
FDR12,OUT049,2828.765192861258
FDW60,OUT049,2894.4956392654094
FDJ36,OUT017,1694.0197675326258
FDW36,OUT046,1751.4111942872262
FDP12,OUT018,469.62164598072786
FDU60,OUT018,2399.787163313198
FDT36,OUT035,726.4065086945038
FDD36,OUT035,1963.1641307092125
FDR24,OUT049,1572.8620164823526
FDE36,OUT019,758.9373997077773
FDI24,OUT017,2763.3347581250396
FDA11,OUT019,-310.4524134253652
FDU48,OUT018,1836.431205345783
FDY12,OUT045,1014.752745643149
FDU60,OUT017,2721.6854394139705
FDH12,OUT013,1755.2131210594453
FDR24,OUT018,1275.8820005997607
FDW24,OUT017,967.8913590356883
FDU24,OUT035,1625.7645157604456
FDW36,OUT018,1424.5225972609942
FDE24,OUT019,411.0946699410574
FDC60,OUT045,1619.1223156962708
FDL36,OUT013,1516.9941521219948
FDZ48,OUT035,1865.5114097572064
FDR12,OUT035,2788.0034762438245
FDX23,OUT049,1658.7578953282468
FDT60,OUT027,3381.6306702348606
FDS12,OUT046,2016.5655723750472
FDP12,OUT013,784.8062510264149
FDU48,OUT027,3476.7459785058904
FDB12,OUT045,1833.63710996768
FDQ60,OUT046,1967.786949818616
FDR60,OUT045,1355.144016327215
FDI36,OUT017,3172.1212170821846
FDJ36,OUT013,1716.3913974273967
FDZ60,OUT046,1745.8397554690266
FDX48,OUT013,2521.8951218959255
FDZ12,OUT027,3636.2029985383615
FDU36,OUT017,1628.9645337305622
FDX60,OUT049,1406.9492308270164
FDJ12,OUT027,4691.5925308416345
FDD48,OUT027,3270.1473127091685
FDO48,OUT010,1670.2337911765594
FDL24,OUT046,2794.5455628928235
FDD36,OUT013,1965.8438164909696
FDP48,OUT010,1070.1780798899745
FDX12,OUT049,3850.352319481739
FDE36,OUT046,2668.100953687765
FDZ36,OUT049,2995.048160312137
FDA11,OUT049,1635.4133400289345
FDN48,OUT010,-261.83331983829066
FDQ12,OUT013,3613.3705083817767
FDO36,OUT018,2564.1436562734975
FDA35,OUT018,1752.7976449454293
FDZ59,OUT035,2732.2188881672714
FDQ36,OUT013,711.4671111372077
FDF24,OUT046,1429.8577131870384
FDA11,OUT013,1610.676341243083
FDQ12,OUT017,3573.390626878433
FDP36,OUT046,922.2689933584884
FDA48,OUT027,4798.283263813233
FDJ12,OUT018,3008.8183904643706
FDY12,OUT035,996.7783434727994
FDH12,OUT027,3115.6165058371507
FDA47,OUT035,2637.208110760199
FDT36,OUT049,691.568576436448
FDQ48,OUT049,1714.4068365007054
FDC60,OUT027,2861.263964019618
FDZ47,OUT018,1377.2116509698099
FDY36,OUT035,1340.3229018392562
FDG60,OUT045,3735.2543432440098
FDM60,OUT019,-1052.1927119416428
FDT12,OUT035,3578.036808530378
FDL12,OUT045,1117.9781861083184
FDY59,OUT017,1578.2561698162035
FDW23,OUT027,2101.916680306771
FDX12,OUT017,3783.4685741633803
FDQ60,OUT035,2018.5968111567713
FDQ60,OUT027,3315.9068732293713
FDW24,OUT018,627.8054557895603
FDF12,OUT035,2403.7492462029286
FDM12,OUT045,3077.0367172171946
FDK48,OUT013,1326.2649458142882
FDV12,OUT010,-177.45961192566847
FDH24,OUT013,2543.7759004704712
FDX24,OUT049,1596.9187548971368
FDT48,OUT045,3190.9936197044462
FDR24,OUT046,1553.8978878050787
FDW60,OUT035,2878.905750375994
FDG60,OUT010,1805.7073952397354
FDJ12,OUT035,3340.563470850497
FDX12,OUT013,3797.430600930208
FDV48,OUT035,1410.432782420904
FDI36,OUT049,3187.9919584119175
FDD36,OUT045,2019.7554387123412
FDR12,OUT010,903.7351316448462
FDY60,OUT018,2041.5271976362105
FDT60,OUT013,1992.634442293619
FDV36,OUT019,165.67384768513875
FDC37,OUT010,-18.817073650322072
FDJ60,OUT027,4043.8360200757584
FDE36,OUT010,762.3823633678812
FDV12,OUT027,3068.615325996247
FDW12,OUT018,2098.133021387557
FDK36,OUT045,958.6152487783752
FDW60,OUT046,2875.50361120118
FDN24,OUT035,972.7729752094488
FDQ60,OUT017,2056.4011059486056
FDT36,OUT017,704.9553486619252
FDZ36,OUT019,1116.2947821062976
FDM24,OUT010,582.7136922516779
FDI48,OUT045,1013.3922350045459
FDS24,OUT017,1553.1166921076338
FDQ48,OUT045,1745.7199308969657
FDV36,OUT013,2077.567546862104
FDK48,OUT010,-563.0523761317409
FDR48,OUT046,2404.0735882171157
FDX11,OUT027,4253.890963481745
FDK48,OUT018,980.6458065196384
FDY11,OUT045,1254.9596435571416
FDR12,OUT046,2760.8998240253914
FDG60,OUT018,3382.466691488023
FDO12,OUT027,4420.839940142363
FDC37,OUT046,1757.5056094596166
FDU60,OUT027,4058.1151626339256
FDX36,OUT027,4882.102525870308
FDJ36,OUT018,1389.197014331325
FDA23,OUT018,1390.6884490986365
FDS60,OUT017,2851.0743413737387
FDE24,OUT013,2267.1403239009824
FDR36,OUT027,2202.194703118179
FDV60,OUT046,3115.886099830774
FDH60,OUT018,2800.4463196168385
FDH24,OUT027,3891.4096755450555
FDY11,OUT035,1270.6833458432661
FDO60,OUT049,882.0408306270715
FDL36,OUT046,1524.2256408128865
FDB37,OUT018,3480.962563095048
FDQ24,OUT046,3869.759141908457
FDI12,OUT035,1516.0216825905302
FDI12,OUT018,1221.206041667777
FDC37,OUT018,1466.2060817099248
FDQ12,OUT018,3278.9482440706774
FDB36,OUT049,2167.754074840714
FDC48,OUT013,1412.489276912439
FDX48,OUT046,2512.8450111584107
FDU48,OUT046,2139.6168487228924
FDR48,OUT019,500.84582426673114
FDN12,OUT049,1833.9808055153135
FDD36,OUT046,1933.0986832725018
FDB12,OUT027,3070.9342582069803
FDM36,OUT018,2473.390602622207
FDP36,OUT049,986.7899131988625
FDO24,OUT017,2452.6260908892964
FDC37,OUT035,1823.1225775506784
FDA36,OUT046,2926.861906286505
FDD48,OUT013,1903.7514506297578
FDL24,OUT017,2809.557894898249
FDA48,OUT035,3462.791195654889
FDU60,OUT049,2754.5340911301946
FDX36,OUT035,3564.825651367705
FDF24,OUT045,1454.6413671971932
FDO48,OUT027,4858.046888850211
FDI24,OUT049,2844.4226690334067
FDI48,OUT018,716.6223339908138
