Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDL48,OUT018,731.1237734361894
FDC48,OUT027,2156.061837523373
FDA36,OUT017,3062.7654130562687
FDM24,OUT049,2481.6490208887253
FDD48,OUT010,271.7292640729315
FDW12,OUT035,2464.985930274657
FDC37,OUT027,2894.338960152989
FDZ36,OUT045,3062.7654130562687
FDK60,OUT017,1537.3409305661737
FDG12,OUT046,2020.177210830621
FDX24,OUT013,1548.7817998818562
FDS60,OUT027,4793.351785216341
FDC60,OUT049,1467.1430280488019
FDA48,OUT018,3493.679650254357
FDZ36,OUT027,5201.297316159447
FDW23,OUT018,655.0358947550772
FDW60,OUT018,2891.522725238474
FDY59,OUT010,225.6018712007086
FDR60,OUT049,1280.8302217110272
FDV24,OUT013,2484.411134204694
FDZ48,OUT010,259.8722921791266
FDS24,OUT027,2575.6670063105985
FDS48,OUT045,2470.5642805674024
FDM60,OUT010,129.71830576993682
FDV24,OUT017,2481.6490208887253
FDS12,OUT027,3018.6860429113476
FDP12,OUT027,961.7531663555019
FDV24,OUT046,2481.6490208887253
FDW36,OUT017,1559.7277359174946
FDA36,OUT018,3062.7654130562687
FDU48,OUT045,2035.998074340309
FDH12,OUT035,1559.7277359174946
FDI12,OUT013,1528.0846856565809
FDY24,OUT019,129.71830576993682
FDY24,OUT017,914.0298347159448
FDQ12,OUT010,573.5849077966637
FDS48,OUT017,2481.6490208887253
FDU24,OUT045,1528.9739893854598
FDG12,OUT035,1987.124344932278
FDZ59,OUT046,2565.4972789767476
FDQ60,OUT045,1982.079959339957
FDV12,OUT049,1545.028497564126
FDM24,OUT018,2470.5642805674024
FDQ24,OUT049,4019.2242061956426
FDA48,OUT049,3736.1586445220387
FDN60,OUT049,2533.491330383075
FDP60,OUT018,1545.028497564126
FDY24,OUT045,937.3589333592826
FDW12,OUT019,332.1801542287635
FDX48,OUT027,4062.5785894015335
FDR36,OUT046,679.108743679036
FDX12,OUT018,3694.210375876071
FDN24,OUT049,872.1529259954553
FDB60,OUT045,3062.7654130562687
FDR12,OUT049,2862.3899977110855
FDW60,OUT049,2885.5494700114505
FDJ36,OUT017,1559.7277359174946
FDW36,OUT046,1559.7277359174946
FDP12,OUT018,654.1157377271858
FDU60,OUT018,2648.964198854538
FDT36,OUT035,674.2572537900755
FDD36,OUT035,1947.0272121527992
FDR24,OUT049,1488.4457344200518
FDE36,OUT019,384.509742559979
FDI24,OUT017,2859.807756781425
FDA11,OUT019,230.36050318374987
FDU48,OUT018,2035.998074340309
FDY12,OUT045,754.782096924341
FDU60,OUT017,2737.9257230126714
FDH12,OUT013,1559.7277359174946
FDR24,OUT018,1514.4361056039177
FDW24,OUT017,729.6922057152858
FDU24,OUT035,1537.3409305661737
FDW36,OUT018,1559.7277359174946
FDE24,OUT019,358.31210941855267
FDC60,OUT045,1492.0753611163373
FDL36,OUT013,1537.8861405477767
FDZ48,OUT035,1698.065630594466
FDR12,OUT035,2765.3923556996388
FDX23,OUT049,1537.3409305661737
FDT60,OUT027,3018.6860429113476
FDS12,OUT046,2025.8616290201526
FDP12,OUT013,694.2531699389812
FDU48,OUT027,3024.3829550598234
FDB12,OUT045,1559.7277359174946
FDQ60,OUT046,2017.085018333242
FDR60,OUT045,1284.7064106018381
FDI36,OUT017,3069.290392914398
FDJ36,OUT013,1559.7277359174946
FDZ60,OUT046,1564.672367301141
FDX48,OUT013,2484.411134204694
FDZ12,OUT027,3058.6241750620193
FDU36,OUT017,1537.3409305661737
FDX60,OUT049,1343.5229937586437
FDJ12,OUT027,5836.16135040727
FDD48,OUT027,2936.781699538366
FDO48,OUT010,573.5849077966637
FDL24,OUT046,2859.807756781425
FDD36,OUT013,1989.930189160055
FDP48,OUT010,458.5897780228077
FDX12,OUT049,3909.8382157850338
FDE36,OUT046,2565.4972789767476
FDZ36,OUT049,3065.3476539859303
FDA11,OUT049,1537.3409305661737
FDN48,OUT010,224.86501791811745
FDQ12,OUT013,3838.2284303747606
FDO36,OUT018,3036.338966842683
FDA35,OUT018,2023.1082591504955
FDZ59,OUT035,2684.9777879074904
FDQ36,OUT013,694.2531699389812
FDF24,OUT046,1371.5923124118667
FDA11,OUT013,1547.5663657105626
FDQ12,OUT017,3835.7894468495488
FDP36,OUT046,747.1310783051309
FDA48,OUT027,5839.015611663023
FDJ12,OUT018,3393.3388593200866
FDY12,OUT035,835.3122151299536
FDH12,OUT027,2890.3665571578854
FDA47,OUT035,2565.4972789767476
FDT36,OUT049,675.8512836476028
FDQ48,OUT049,1545.028497564126
FDC60,OUT027,2610.144464035956
FDZ47,OUT018,1539.9118389937496
FDY36,OUT035,1138.1862740884299
FDG60,OUT045,3874.900731216622
FDM60,OUT019,129.71830576993682
FDT12,OUT035,3776.5462106393575
FDL12,OUT045,1034.6161759591664
FDY59,OUT017,1528.9739893854598
FDW23,OUT027,962.6733233833933
FDX12,OUT017,3934.0728313264226
FDQ60,OUT035,2017.085018333242
FDQ60,OUT027,2941.6668039308233
FDW24,OUT018,729.6922057152858
FDF12,OUT035,2470.5642805674024
FDM12,OUT045,3062.7654130562687
FDK48,OUT013,1411.0152201732394
FDV12,OUT010,236.14477402888315
FDH24,OUT013,2556.103206673925
FDX24,OUT049,1528.9739893854598
FDT48,OUT045,3138.412286457484
FDR24,OUT046,1490.236668634984
FDW60,OUT035,2859.807756781425
FDG60,OUT010,574.5255876166387
FDJ12,OUT035,3593.3259486450024
FDX12,OUT013,3919.847281325792
FDV48,OUT035,1299.5234549996856
FDI36,OUT049,3071.8726338440597
FDD36,OUT045,1949.8238934251995
FDR12,OUT010,386.44384199544976
FDY60,OUT018,2061.196636196505
FDT60,OUT013,2020.177210830621
FDV36,OUT019,282.4745149693288
FDC37,OUT010,253.16976998418536
FDJ60,OUT027,4256.6950305926175
FDE36,OUT010,384.9298663788925
FDV12,OUT027,2856.86200879705
FDW12,OUT018,2468.018285425041
FDK36,OUT045,746.4446837436113
FDW60,OUT046,2906.3354472959136
FDN24,OUT035,871.4054205041662
FDQ60,OUT017,2020.177210830621
FDT36,OUT017,654.1157377271858
FDZ36,OUT019,490.2384305974136
FDM24,OUT010,366.7300784344632
FDI48,OUT045,759.1712274274649
FDS24,OUT017,1486.8262017795696
FDQ48,OUT045,1545.028497564126
FDV36,OUT013,2025.8616290201526
FDK48,OUT010,156.08504900068073
FDR48,OUT046,2484.411134204694
FDX11,OUT027,5036.79224362377
FDK48,OUT018,1106.627715174811
FDY11,OUT045,1087.8290325229352
FDR12,OUT046,2859.807756781425
FDG60,OUT018,3663.1261896299693
FDO12,OUT027,5735.870200113018
FDC37,OUT046,1559.7277359174946
FDU60,OUT027,4262.676191501041
FDX36,OUT027,5839.015611663023
FDJ36,OUT018,1559.7277359174946
FDA23,OUT018,1559.7277359174946
FDS60,OUT017,2959.3800834304766
FDE24,OUT013,2061.196636196505
FDR36,OUT027,966.2361531109466
FDV60,OUT046,3069.290392914398
FDH60,OUT018,3062.7654130562687
FDH24,OUT027,4171.796978039015
FDY11,OUT035,1104.7402501382367
FDO60,OUT049,688.6485639888149
FDL36,OUT046,1527.186381817674
FDB37,OUT018,3683.851258098784
FDQ24,OUT046,4019.2242061956426
FDI12,OUT035,1460.5561134384513
FDI12,OUT018,1487.1283206395342
FDC37,OUT018,1559.7277359174946
FDQ12,OUT018,3600.37434333547
FDB36,OUT049,2033.0655440431676
FDC48,OUT013,1471.95308361021
FDX48,OUT046,2486.870012118041
FDU48,OUT046,2035.998074340309
FDR48,OUT019,367.55177229449293
FDN12,OUT049,1601.261923611796
FDD36,OUT046,1949.8238934251995
FDB12,OUT027,2856.86200879705
FDM36,OUT018,2859.807756781425
FDP36,OUT049,750.6322671172883
FDO24,OUT017,2556.103206673925
FDC37,OUT035,1564.672367301141
FDA36,OUT046,3062.7654130562687
FDD48,OUT013,1936.7491419720359
FDL24,OUT017,2859.807756781425
FDA48,OUT035,3744.6123493042837
FDU60,OUT049,2740.5079639423325
FDX36,OUT035,3780.40029461237
FDF24,OUT045,1353.7882728576637
FDO48,OUT027,5839.015611663023
FDI24,OUT049,2894.1049661681354
FDI48,OUT018,856.9995235174938
FDU48,OUT013,2035.998074340309
FDV12,OUT045,1537.3409305661737
FDZ23,OUT019,475.9145100670534
FDZ47,OUT019,242.76368586492728
FDD48,OUT035,1934.0102315308195
FDT48,OUT035,3205.0402815249295
FDL12,OUT010,132.1104569847453
FDI12,OUT027,2667.4033907288476
FDL12,OUT017,923.95539669239
FDI36,OUT013,3069.290392914398
FDJ48,OUT018,3699.5709022957512
FDC48,OUT049,1408.9867687333974
FDD36,OUT017,2017.085018333242
FDC37,OUT017,1559.7277359174946
FDB60,OUT019,508.2570043377684
FDZ47,OUT013,1547.1810748190098
FDY48,OUT017,1559.7277359174946
FDX36,OUT010,575.2896407035054
FDJ60,OUT010,385.0008381830911
FDO36,OUT046,2925.5578005718103
FDP24,OUT018,2017.085018333242
FDY36,OUT010,147.16844076493578
FDS60,OUT049,3034.3591318871645
FDM60,OUT035,676.828319259989
FDZ23,OUT017,3062.7654130562687
FDN48,OUT046,1527.186381817674
FDK60,OUT013,1547.1810748190098
FDS24,OUT019,204.96615735466142
FDO48,OUT049,3750.221916665734
FDA36,OUT049,3065.3476539859303
FDH48,OUT027,2533.200488221861
FDU36,OUT045,1545.028497564126
FDS48,OUT018,2481.6490208887253
FDB37,OUT045,3926.748616379052
FDM12,OUT018,3062.7654130562687
FDE24,OUT049,2042.2477258303732
FDV36,OUT049,2025.8616290201526
FDO60,OUT045,721.7064028290584
FDI48,OUT019,129.71830576993682
FDB49,OUT035,1559.7277359174946
FDX48,OUT049,2484.411134204694
FDY12,OUT049,861.0974070336555
FDS12,OUT049,2025.8616290201526
FDB60,OUT046,3062.7654130562687
FDY60,OUT049,2178.4312737733685
FDP48,OUT013,3060.7796978522265
FDK24,OUT013,707.0504502801932
FDO36,OUT017,3017.2320025450504
FDY36,OUT018,1118.3875388161132
FDZ48,OUT013,1927.0843890952988
FDJ48,OUT049,4006.2011390964967
FDZ12,OUT035,2061.196636196505
FDY24,OUT027,1237.6127955401375
FDA23,OUT045,1555.145641590554
FDZ12,OUT017,2438.3377518263815
FDO24,OUT019,383.14520077729713
FDF12,OUT049,2468.018285425041
FDM12,OUT019,490.85888227434657
FDX23,OUT027,2828.0266116747534
FDR24,OUT019,224.99287775090244
FDZ23,OUT046,3062.7654130562687
FDZ60,OUT013,1567.1500483503823
FDS36,OUT027,2906.59443982934
FDZ47,OUT045,1545.028497564126
FDN12,OUT035,1658.999449382421
FDU60,OUT046,2737.9257230126714
FDV36,OUT035,2025.8616290201526
FDX48,OUT045,2484.411134204694
FDT24,OUT017,1138.8332304593062
FDT12,OUT019,572.3122091336904
FDO48,OUT035,3758.675621447979
FDU60,OUT013,2648.964198854538
FDP36,OUT035,792.2553122120768
FDF24,OUT013,1487.8714203010904
FDW23,OUT017,655.0358947550772
FDQ24,OUT027,5839.015611663023
FDI36,OUT045,3069.290392914398
FDZ12,OUT045,2061.196636196505
FDM12,OUT049,3065.3476539859303
FDK60,OUT027,2828.0266116747534
FDP36,OUT045,750.6322671172883
FDN48,OUT017,1533.2170588145425
FDA47,OUT049,2568.0795199064087
